Source_Table,Year,Best Picture,Best Actor,Best Actress,Director,Drama Actor,Musical/Comedy Actor,Drama Actress,Musical/Comedy Actress,Drama,Musical/Comedy
4,2008–2009,,,,,"Gabriel Byrne, In Treatment","Alec Baldwin, 30 Rock","Anna Paquin, True Blood","Tina Fey, 30 Rock",Mad Men,30 Rock
4,2009–2010,,,,,"Michael C. Hall, Dexter","Alec Baldwin, 30 Rock","Julianna Margulies, The Good Wife","Toni Collette, United States of Tara",Mad Men,Glee
4,2010–2011,,,,,"Steve Buscemi, Boardwalk Empire","Jim Parsons, The Big Bang Theory","Katey Sagal, Sons of Anarchy","Laura Linney, The Big C",Boardwalk Empire,Glee
4,2011–2012,,,,,"Kelsey Grammer, Boss","Matt LeBlanc, Episodes","Claire Danes, Homeland","Laura Dern, Enlightened",Homeland,Modern Family
4,2012–2013,,,,,"Damian Lewis, Homeland","Don Cheadle, House of Lies","Claire Danes, Homeland","Lena Dunham, Girls",Homeland,Girls
4,2013–2014,,,,,"Bryan Cranston, Breaking Bad","Andy Samberg, Brooklyn Nine-Nine","Robin Wright, House of Cards","Amy Poehler, Parks and Recreation",Breaking Bad,Brooklyn Nine-Nine
4,2014–2015,,,,,"Kevin Spacey, House of Cards","Jeffrey Tambor, Transparent","Ruth Wilson, The Affair","Gina Rodriguez, Jane the Virgin",The Affair,Transparent
4,2015–2016,,,,,"Jon Hamm, Mad Men","Gael García Bernal, Mozart in the Jungle","Taraji Henson, Empire","Rachel Bloom, Crazy Ex-Girlfriend",Mr. Robot,Mozart in the Jungle
4,2016–2017,,,,,"Billy Bob Thornton, Goliath","Donald Glover, Atlanta","Claire Foy, The Crown","Tracee Ellis Ross, Black-ish",The Crown,Atlanta
4,2017–2018,,,,,"Sterling K. Brown, This Is Us","Aziz Ansari, Master of None","Elisabeth Moss, The Handmaid's Tale","Rachel Brosnahan, The Marvelous Mrs. Maisel",The Handmaid's Tale,The Marvelous Mrs. Maisel
4,2018–2019,,,,,"Richard Madden, Bodyguard","Michael Douglas, The Kominsky Method","Sandra Oh, Killing Eve","Rachel Brosnahan, The Marvelous Mrs. Maisel",The Americans,The Kominsky Method
4,2019–2020,,,,,"Brian Cox, Succession","Ramy Youssef, Ramy","Olivia Colman, The Crown","Phoebe Waller-Bridge, Fleabag",Succession,Fleabag
4,2020–2021,,,,,"Josh O'Connor, The Crown","Jason Sudeikis, Ted Lasso","Emma Corrin, The Crown","Catherine O'Hara, Schitt's Creek",The Crown,Schitt's Creek
4,2021–2022,,,,,"Jeremy Strong, Succession","Jason Sudeikis, Ted Lasso","Mj Rodriguez, Pose","Jean Smart, Hacks",Succession,Hacks
4,2022–2023,,,,,"Kevin Costner, Yellowstone","Jeremy Allen White, The Bear","Zendaya, Euphoria","Quinta Brunson, Abbott Elementary",House of the Dragon,Abbott Elementary
4,2023–2024,,,,,"Kieran Culkin, Succession","Jeremy Allen White, The Bear","Sarah Snook, Succession","Ayo Edebiri, The Bear",Succession,The Bear
4,2024–2025,,,,,"Hiroyuki Sanada, Shōgun","Jeremy Allen White, The Bear","Anna Sawai, Shōgun","Jean Smart, Hacks",Shōgun,Hacks
